number_of_k,distance,policy,weight,acc_fold0,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_fold6,acc_fold7,acc_fold8,acc_fold9
1,euclidean,majority,,0.9226666666666666,0.9047619047619048,0.9098143236074271,0.9204244031830239,0.91005291005291,0.9047619047619048,0.9021164021164021,0.9126984126984127,0.9310344827586207,0.9414893617021277
3,euclidean,majority,,0.9466666666666667,0.9312169312169312,0.9442970822281167,0.9283819628647215,0.9365079365079365,0.9285714285714286,0.9232804232804233,0.9312169312169312,0.9416445623342176,0.9468085106382979
5,euclidean,majority,,0.9413333333333334,0.9259259259259259,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9232804232804233,0.9232804232804233,0.9365079365079365,0.9416445623342176,0.949468085106383
7,euclidean,majority,,0.9386666666666666,0.9285714285714286,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9285714285714286,0.9365079365079365,0.9363395225464191,0.949468085106383
1,euclidean,inverse_distance,,0.9226666666666666,0.9047619047619048,0.9098143236074271,0.9204244031830239,0.91005291005291,0.9047619047619048,0.9021164021164021,0.9126984126984127,0.9310344827586207,0.9414893617021277
3,euclidean,inverse_distance,,0.944,0.9259259259259259,0.9442970822281167,0.9257294429708223,0.9338624338624338,0.9232804232804233,0.917989417989418,0.9259259259259259,0.9363395225464191,0.9547872340425532
5,euclidean,inverse_distance,,0.944,0.9259259259259259,0.946949602122016,0.9283819628647215,0.9338624338624338,0.9232804232804233,0.9338624338624338,0.9338624338624338,0.9310344827586207,0.9547872340425532
7,euclidean,inverse_distance,,0.9386666666666666,0.9285714285714286,0.9442970822281167,0.9310344827586207,0.9312169312169312,0.9259259259259259,0.9338624338624338,0.9365079365079365,0.9363395225464191,0.9547872340425532
1,euclidean,sheppard,,0.9226666666666666,0.9047619047619048,0.9098143236074271,0.9204244031830239,0.91005291005291,0.9047619047619048,0.9021164021164021,0.9126984126984127,0.9310344827586207,0.9414893617021277
3,euclidean,sheppard,,0.9466666666666667,0.9259259259259259,0.9442970822281167,0.9283819628647215,0.9338624338624338,0.9285714285714286,0.9259259259259259,0.9312169312169312,0.9363395225464191,0.949468085106383
