number_of_k,distance,policy,weight,acc_fold0,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_fold6,acc_fold7,acc_fold8,acc_fold9
1,manhattan,majority,relieff,0.9890710382513661,0.986351228389445,0.9872379216043756,0.9845454545454545,0.9899817850637522,0.9899817850637522,0.9891107078039928,0.9863636363636363,0.9927140255009107,0.9882032667876588
3,manhattan,majority,relieff,0.98816029143898,0.9881710646041856,0.9908842297174111,0.9854545454545455,0.9845173041894353,0.9908925318761385,0.9918330308529946,0.9845454545454545,0.9918032786885246,0.9872958257713249
5,manhattan,majority,relieff,0.9872495446265938,0.989080982711556,0.9936189608021878,0.9836363636363636,0.9845173041894353,0.9890710382513661,0.9836660617059891,0.9827272727272728,0.9918032786885246,0.9872958257713249
7,manhattan,majority,relieff,0.9836065573770492,0.9854413102820746,0.9890610756608933,0.9836363636363636,0.9817850637522769,0.9890710382513661,0.9863883847549909,0.9827272727272728,0.9908925318761385,0.984573502722323
1,chebyshev,majority,relieff,0.9817850637522769,0.9818016378525932,0.9808568824065633,0.9763636363636363,0.97632058287796,0.9726775956284153,0.9818511796733213,0.980909090909091,0.9808743169398907,0.985480943738657
3,chebyshev,majority,relieff,0.9854280510018215,0.9818016378525932,0.9817684594348223,0.980909090909091,0.9772313296903461,0.97632058287796,0.9782214156079855,0.980909090909091,0.9863387978142076,0.9800362976406534
5,chebyshev,majority,relieff,0.982695810564663,0.9836214740673339,0.9799453053783045,0.98,0.97632058287796,0.9744990892531876,0.9809437386569873,0.9772727272727273,0.9808743169398907,0.9791288566243194
7,chebyshev,majority,relieff,0.9808743169398907,0.9836214740673339,0.9781221513217867,0.9781818181818182,0.9781420765027322,0.9726775956284153,0.9800362976406534,0.9781818181818182,0.9790528233151184,0.9782214156079855
1,manhattan,inverse_distance,relieff,0.9890710382513661,0.986351228389445,0.9872379216043756,0.9845454545454545,0.9899817850637522,0.9899817850637522,0.9891107078039928,0.9863636363636363,0.9927140255009107,0.9882032667876588
3,manhattan,inverse_distance,relieff,0.98816029143898,0.9881710646041856,0.99179580674567,0.9854545454545455,0.9854280510018215,0.9899817850637522,0.9918330308529946,0.9845454545454545,0.9918032786885246,0.9882032667876588
5,manhattan,inverse_distance,relieff,0.9872495446265938,0.989080982711556,0.9936189608021878,0.9836363636363636,0.9854280510018215,0.9890710382513661,0.9836660617059891,0.9827272727272728,0.9927140255009107,0.9872958257713249
7,manhattan,inverse_distance,relieff,0.9845173041894353,0.9854413102820746,0.9899726526891522,0.9845454545454545,0.9836065573770492,0.9899817850637522,0.9863883847549909,0.9827272727272728,0.9908925318761385,0.985480943738657
1,euclidean,sheppard,relieff,0.9872495446265938,0.9909008189262967,0.9954421148587056,0.9890909090909091,0.9899817850637522,0.9899817850637522,0.9891107078039928,0.99,0.9936247723132969,0.9936479128856625
3,euclidean,sheppard,relieff,0.9899817850637522,0.9881710646041856,0.9927073837739289,0.9890909090909091,0.9899817850637522,0.9927140255009107,0.9891107078039928,0.99,0.9954462659380692,0.9891107078039928
5,euclidean,sheppard,relieff,0.9890710382513661,0.9899909008189263,0.9899726526891522,0.9872727272727273,0.98816029143898,0.9927140255009107,0.9927404718693285,0.9881818181818182,0.9954462659380692,0.9882032667876588
7,euclidean,sheppard,relieff,0.98816029143898,0.9899909008189263,0.9890610756608933,0.9845454545454545,0.9854280510018215,0.9890710382513661,0.9909255898366606,0.9881818181818182,0.9936247723132969,0.9863883847549909
1,manhattan,inverse_distance,ig,0.9927140255009107,0.989080982711556,0.9963536918869644,0.9927272727272727,0.9927140255009107,0.9963570127504554,0.9963702359346642,0.990909090909091,0.9963570127504554,0.9945553539019963
3,manhattan,inverse_distance,ig,0.9936247723132969,0.9899909008189263,0.9945305378304466,0.9918181818181818,0.9918032786885246,0.9936247723132969,0.9981851179673321,0.9918181818181818,0.9972677595628415,0.9900181488203267
