number_of_k,distance,policy,weight,average_accuracy,average_efficiency
1,euclidean,majority,,0.9159820772309402,15.76358757019043
3,euclidean,majority,,0.9358592435525672,15.020268821716309
5,euclidean,majority,,0.9355932711157218,14.755662178993225
7,euclidean,majority,,0.9358543015284763,14.827328515052795
1,euclidean,inverse_distance,,0.9159820772309402,14.920233345031738
3,euclidean,inverse_distance,,0.9332137408772038,14.977994751930236
5,euclidean,inverse_distance,,0.9355946932581561,14.949140405654907
7,euclidean,inverse_distance,,0.9361209644327031,14.950936985015868
1,euclidean,sheppard,,0.9159820772309402,14.923348975181579
3,euclidean,sheppard,,0.9350655964914953,14.988247776031494
5,euclidean,sheppard,,0.9363897437689074,14.930744743347168
7,euclidean,sheppard,,0.9355890495390863,14.905083227157593
1,manhattan,majority,,0.9215517009362204,7.300036382675171
3,manhattan,majority,,0.9374514759065017,7.291657662391662
5,manhattan,majority,,0.9374493557718063,7.310755801200867
7,manhattan,majority,,0.9379735217718345,7.298132681846619
1,manhattan,inverse_distance,,0.9215517009362204,7.353816747665405
3,manhattan,inverse_distance,,0.9355975113851123,7.331463479995728
5,manhattan,inverse_distance,,0.9395678705278853,7.319858121871948
7,manhattan,inverse_distance,,0.9374472468348477,7.335766315460205
1,manhattan,sheppard,,0.9215517009362204,7.349512076377868
3,manhattan,sheppard,,0.9374514796390805,7.400972867012024
5,manhattan,sheppard,,0.9385096657371053,7.348655128479004
7,manhattan,sheppard,,0.9382380720363847,7.556858539581299
1,chebyshev,majority,,0.9114769850675941,10.385007739067078
3,chebyshev,majority,,0.9308215272458853,10.387509632110596
5,chebyshev,majority,,0.9345294450312058,10.416586756706238
7,chebyshev,majority,,0.934529441298627,10.35864429473877
1,chebyshev,inverse_distance,,0.9114769850675941,10.316279888153076
3,chebyshev,inverse_distance,,0.9297647296075029,10.361348032951355
5,chebyshev,inverse_distance,,0.9334719531630024,10.367265105247498
7,chebyshev,inverse_distance,,0.9337364959623947,10.31609251499176
1,chebyshev,sheppard,,0.9114769850675941,10.35670084953308
3,chebyshev,sheppard,,0.9313520349572441,10.327606058120727
5,chebyshev,sheppard,,0.9345301467560455,10.385937929153442
7,chebyshev,sheppard,,0.934529441298627,10.351342296600341
1,euclidean,majority,ig,0.9488362297250046,14.77015233039856
3,euclidean,majority,ig,0.9530824153727309,14.919678997993469
5,euclidean,majority,ig,0.9509610974498722,14.839032959938049
7,euclidean,majority,ig,0.9506951325080453,14.9593341588974
1,euclidean,inverse_distance,ig,0.9488362297250046,14.94467360973358
3,euclidean,inverse_distance,ig,0.9544065701451615,14.969218325614928
5,euclidean,inverse_distance,ig,0.952019287280476,14.96304805278778
7,euclidean,inverse_distance,ig,0.9514894850265356,14.949109482765198
1,euclidean,sheppard,ig,0.9488362297250046,14.928188586235047
3,euclidean,sheppard,ig,0.9530824153727309,15.034036421775818
5,euclidean,sheppard,ig,0.9506944307832056,14.940221214294434
7,euclidean,sheppard,ig,0.9504284658413786,14.929091453552246
1,manhattan,majority,ig,0.9610301920546236,7.317962408065796
3,manhattan,majority,ig,0.960501087792944,7.354367351531982
5,manhattan,majority,ig,0.958914476673024,7.348239278793335
7,manhattan,majority,ig,0.9546732405444069,7.364735531806946
1,manhattan,inverse_distance,ig,0.9610301920546236,7.339995551109314
3,manhattan,inverse_distance,ig,0.9610301883220445,7.434205484390259
5,manhattan,inverse_distance,ig,0.9594442864219828,7.379632878303528
7,manhattan,inverse_distance,ig,0.9552030427983473,7.410839033126831
1,manhattan,sheppard,ig,0.9610301920546236,7.360827779769897
3,manhattan,sheppard,ig,0.960501087792944,7.36714780330658
5,manhattan,sheppard,ig,0.9591797361574323,7.388120031356811
7,manhattan,sheppard,ig,0.9546732405444069,7.436364960670471
1,chebyshev,majority,ig,0.9559988137266933,10.328718447685242
3,chebyshev,majority,ig,0.955197410277014,10.345280838012695
5,chebyshev,majority,ig,0.9544044724358004,10.38486270904541
7,chebyshev,majority,ig,0.9522887795392565,10.303379774093628
1,chebyshev,inverse_distance,ig,0.9559988137266933,10.399990940093994
3,chebyshev,inverse_distance,ig,0.955197410277014,10.381553077697754
5,chebyshev,inverse_distance,ig,0.9551981232294512,10.46766836643219
7,chebyshev,inverse_distance,ig,0.9541434495180644,10.409635639190673
1,chebyshev,sheppard,ig,0.9559988137266933,10.414195442199707
3,chebyshev,sheppard,ig,0.955197410277014,10.454776191711426
5,chebyshev,sheppard,ig,0.9544044724358004,10.445629453659057
7,chebyshev,sheppard,ig,0.952817880068357,10.443639135360717
1,euclidean,majority,relieff,0.9180949295751937,15.004395604133606
3,euclidean,majority,relieff,0.930562631957863,14.990823006629943
5,euclidean,majority,relieff,0.9348031551340428,14.92727267742157
7,euclidean,majority,relieff,0.9334712439730047,14.872136783599853
1,euclidean,inverse_distance,relieff,0.9180949295751937,14.919916725158691
3,euclidean,inverse_distance,relieff,0.928448338748559,15.111177730560303
5,euclidean,inverse_distance,relieff,0.933214453829641,15.079520344734192
7,euclidean,inverse_distance,relieff,0.930559089621012,15.030044054985046
1,euclidean,sheppard,relieff,0.9180949295751937,14.9643004655838
3,euclidean,sheppard,relieff,0.9292398843676907,15.057059860229492
5,euclidean,sheppard,relieff,0.9353336628454016,15.089040112495422
7,euclidean,sheppard,relieff,0.9326761859970958,15.144179821014404
1,manhattan,majority,relieff,0.919684373782246,7.296493363380432
3,manhattan,majority,relieff,0.933474771319819,7.337492823600769
5,manhattan,majority,relieff,0.933471236507847,7.368973875045777
7,manhattan,majority,relieff,0.9334691350659071,7.3567725896835325
1,manhattan,inverse_distance,relieff,0.919684373782246,7.358453917503357
3,manhattan,inverse_distance,relieff,0.9310924192217664,7.4316980838775635
5,manhattan,inverse_distance,relieff,0.9326790003616123,7.375955510139465
7,manhattan,inverse_distance,relieff,0.9308243416104018,7.4853606700897215
1,manhattan,sheppard,relieff,0.919684373782246,7.328465604782105
3,manhattan,sheppard,relieff,0.932416573994197,7.392416000366211
5,manhattan,sheppard,relieff,0.9340010387617872,7.376835799217224
7,manhattan,sheppard,relieff,0.9334698367907466,7.38237566947937
1,chebyshev,majority,relieff,0.9104053989216132,10.360529732704162
3,chebyshev,majority,relieff,0.9263129114981645,10.368427777290345
5,chebyshev,majority,relieff,0.9308173019366711,10.396660113334656
7,chebyshev,majority,relieff,0.9308165927466735,10.44408586025238
1,chebyshev,inverse_distance,relieff,0.9104053989216132,10.262376260757446
3,chebyshev,inverse_distance,relieff,0.923667412585241,10.398404121398926
5,chebyshev,inverse_distance,relieff,0.9284356478308791,10.42287654876709
7,chebyshev,inverse_distance,relieff,0.9287008998202688,10.381036972999572
1,chebyshev,sheppard,relieff,0.9104053989216132,10.253037047386169
3,chebyshev,sheppard,relieff,0.9247263153682818,10.440198063850403
5,chebyshev,sheppard,relieff,0.9302874959501519,10.39197862148285
7,chebyshev,sheppard,relieff,0.9302874922175729,10.389176774024964
